"","","",""
"Aquae Sulis","Bath","",""
"Isca Silurum","Caerleon","",""
"Venta Silurum","Caerwent","",""
"Durovernum","Canterbury","",""
"Moridunum","Carmarthen","",""
"Camulodonum","Colchester","",""
"Noviomagus","Chichester","",""
"Deva","Chester","",""
"Corinium","Cirencester","",""
"Dubris","Dover","",""
"Durnovaria","Dorchester","",""
"Isca Dumnoniorum","Exeter","",""
"Glevum","Gloucester","",""
"Ratae Coritanorum","Leicester","",""
"Londinium","London","",""
"Lindum","Lincoln","",""
"Mamucium","Manchester","",""
"Condate","Northwich","",""
"Verulamium","St Albans","",""
"Lactodorum","Towcester","",""
"Venta Belgarum","Winchester","",""
"Eboracum","York","",""

