"Albany Times - Union","Albany , New York",""
"The Citizen","Auburn , New York",""
"The Daily News","Batavia , New York",""
"Der Yid","Brooklyn , New York",""
"Jewish Press","Brooklyn , New York",""
"Laiks","Brooklyn , New York",""
"New Yorkin Uutiset","Brooklyn , New York",""
"Norway Times - Nordisk Tidende","Brooklyn , New York",""
"Tsaytung","Brooklyn , New York",""
"The Buffalo News","Buffalo , New York",""
"Daily Messenger","Canandaigua , New York",""
"Star Gazette","Elmira , New York",""
"The Finger Lakes Times","Geneva , New York",""
"Newsday","Melville , New York",""
"Tiesa","Middletown , New York",""
"Yated Ne&apos;eman ( English edition )","Monsey , New York",""
"Yated Ne&apos;eman ( Hebrew edition )","",""

