"","1505","","Christ&apos;s College"
"","","","Churchill College"
"","1326","","Clare College"
"","1966","","Clare Hall"
"","1352","","Corpus Christi College"
"","","","Darwin College"
"","","","Downing College"
"","1584","","Emmanuel College"
"","","","Fitzwilliam College"
"","","","Girton College"
"","1348","","Gonville and Caius College"
"","","","Homerton College"
"","1885","","Hughes Hall"
"","","","Jesus College"
"","","","King&apos;s College"
"","","","Lucy Cavendish College"
"","","","Magdalene College"
"","","","New Hall"
"","","","Newnham College"
"","","","Pembroke College"
"","1284","","Peterhouse"
"","","","Queens&apos; College"
"","","","Robinson College"
"","1882","","Selwyn College"
"","1596","","Sidney Sussex College"
"","1473","","St . Catharine&apos;s College"
"","1896","","St . Edmund&apos;s College"
"","","","St . John&apos;s College"
"","","","Trinity College"
"","","","Trinity Hall"
"","","","Wolfson College"

