"Paul Lukas","Watch on the Rhine"
"Alexander Knox","Wilson"
"Ray Milland","The Lost Weekend"
"Gregory Peck","The Yearling"
"Ronald Colman","A Double Life"
"Laurence Olivier","Hamlet"
"Broderick Crawford","All the King&apos;s Men"
"JosÃ¯Â¿Â½ Ferrer","Cyrano de Bergerac"
"Fredric March","Death of a Salesman"
"Gary Cooper","High Noon"
"Spencer Tracy","The Actress"
"Marlon Brando","On the Waterfront"
"Ernest Borgnine","Marty"
"Kirk Douglas","Lust for Life"
"Alec Guinness","The Bridge on the River Kwai"
"David Niven","Separate Tables"
"Anthony Franciosa","Career"
"Burt Lancaster","Elmer Gantry"
"Maximilian Schell","Judgment at Nuremberg"
"Gregory Peck","To Kill a Mockingbird"
"Sidney Poitier","Lilies of the Field"
"Peter O&apos;Toole","Becket"
"Omar Sharif","Doctor Zhivago"
"Paul Scofield","A Man for All Seasons"
"Rod Steiger","In the Heat of the Night"
"Peter O&apos;Toole","The Lion in Winter"
"John Wayne","True Grit"
"George C . Scott","Patton"
"Gene Hackman","The French Connection"
"Marlon Brando","The Godfather"
"Al Pacino","Serpico"
"Jack Nicholson","Chinatown"
"Jack Nicholson","One Flew Over the Cuckoo&apos;s Nest"
"Peter Finch","Network"
"Richard Burton","Equus"
"Jon Voight","Coming Home"
"Dustin Hoffman","Kramer vs . Kramer"
"Robert De Niro","Raging Bull"
"Henry Fonda","On Golden Pond"
"Ben Kingsley","Gandhi"
"Tom Courtenay","The Dresser"
"F . Murray Abraham","Amadeus"
"Jon Voight","Runaway Train"
"Bob Hoskins","Mona Lisa"
"Michael Douglas","Wall Street"
"Dustin Hoffman","Rain Man"
"Tom Cruise","Born on the Fourth of July"
"Jeremy Irons","Reversal of Fortune"
"Nick Nolte","Prince of Tides"
"Al Pacino","Scent of a Woman"
"Tom Hanks","Philadelphia"
"Tom Hanks","Forrest Gump"
"Nicolas Cage","Leaving Las Vegas"
"Geoffrey Rush","Shine"
"Peter Fonda","Ulee&apos;s Gold"
"Jim Carrey","The Truman Show"
"Denzel Washington","The Hurricane"
"Tom Hanks","Cast Away"
"Denzel Washington","Training Day"
"Jack Nicholson","About Schmidt"

