"","Jean Lorrah","February 1990"
"Encounter at Farpoint","David Gerrold","April 1991"
"","Peter David","1991"
"","",""
"","Michael Jan Friedman","November 1992"
"Reunion","Michael Jan Friedman","June 1993"
"","Diane Carey","October 1993"
"","Carmen Carter","February 1994"
"All Good Things","Michael Jan Friedman","June 1994"
"","Diane Duane","November 1994"
"","Peter David","August 1995"
"","",""
"","",""
"","Michael Jan Friedman","October 1996"
"","",""
"","Michael Jan Friedman","July 1997"
"","Diane Carey","September 1997"
"","Susan Wright","1998"
"Dujonian&apos;s Hoard ( The Captain&apos;s Table , Book 2","Michael Jan Friedman","February 1998"
"Imzadi","Peter David","September 1998"
"Behind Enemy Lines : The Dominion War , Book 1","John Vornholt","November 1998"
"","","1998"
"Tunnel Through the Stars : The Dominion War , Book 3","John Vornholt","December 1998"
"I , Q","John De Lancie , Peter David","1999"
"","Peter David","October 1999"
"The Badlands , Vol 1","Susan Wright","December 1999"
"The Badlands , Vol 2","Susan Wright","December 1999"
"","John Vornholt","August 2000"
"The Next Generation : IQ","John De Lancie , Peter David","November 2000"
"The Gorn Crisis","Kevin J . Anderson , Rebecca Moesta , Jeff Mariotte","December 2000"
"","John Vornholt","April 2001"
"Section 31 : Rogue","Andy Mangels , Michael A . Martin","May 2001"
"","Robert Greenberger","August 2001"
"The Valiant","Michael Jan Friedman","2001"
"","",""
"","",""
"Gauntlet ( Star Trek : Stargazer , Book 1 )","Michael Jan Friedman","May 2002"
"Progenitor ( Star Trek : Stargazer , Book 2 )","Michael Jan Friedman","May 2002"
"","",""
"","","2003"
"","John Vornholt","2003"
"Three ( Star Trek : Stargazer , Book 3 )","Michael Jan Friedman","August 2003"
"Oblivion ( Star Trek : Stargazer , Book 4 )","Michael Jan Friedman","September 2003"
"","Greg Cox","2003"
"","","2003"
"","Jeff Mariotte","2003"
"","Peter David","2003"
"A Time to Be Born","John Vornholt","February 2004"
"A Time to Destroy","Dafydd ab Hugh","February 2004"
"","John Vornholt","2004"
"","Kevin Dilmore","2004"
"","Kevin Dilmore","2004"
"","Robert Greenberger","2004"
"","Robert Greenberger","2004"
"","David Mack","2004"
"","David Mack","2004"
"","",""

