"","Vector Prime","R . A . Salvatore",""
"","Dark Tide I : Onslaught","Michael A . Stackpole",""
"","Dark Tide II : Ruin","Michael A . Stackpole",""
"","Agents of Chaos I : Hero&apos;s Trial","James Luceno",""
"","Agents of Chaos II : Jedi Eclipse","James Luceno",""
"","Balance Point","Kathy Tyers",""
"","Recovery","Troy Denning",""
"","Edge of Victory I : Conquest","Greg Keyes",""
"","Edge of Victory II : Rebirth","Greg Keyes",""
"","Emissaries of the Void","Greg Keyes",""
"","Star by Star","Troy Denning",""
"","","",""
"","Dark Journey","Elaine Cunningham",""
"","The Apprentice","Elaine Cunningham","short story"
"","Enemy Lines I : Rebel Dream","Aaron Allston",""
"","Enemy Lines II : Rebel Stand","Aaron Allston",""
"","Traitor","Matthew Stover",""
"","Destiny&apos;s Way","Walter Jon Williams",""
"","Ylesia","Walter Jon Williams","e - book"
"","Force Heretic I : Remnant","Sean Williams &amp; Shane Dix",""
"","Force Heretic II : Refugee","Sean Williams &amp; Shane Dix",""
"","Force Heretic III : Reunion","Sean Williams &amp; Shane Dix",""
"","The Final Prophecy","Greg Keyes",""
"","The Unifying Force","James Luceno",""

