"Mordicai Gerstein","The Man Who Walked Between the Towers"
"Eric Rothman","My Friend Rabbit"
"David Wiesner","The Three Pigs"
"","So You Want to Be President ?"
"Simms Tabcak","Joseph Had a Little Overcoat"
"","Snowflake Bentley"
"Paul O . Zelinsky","Rapunzel"
"David Wisniewski","Golem"
"Peggy Rathmann","Officer Buckle and Gloria"
"","Smoky Night"
"Allen Say","GrandfatherÃÂs Journey"
"Emily Arnold McCully","Mirette on the High Wire"
"David Wiesner","Tuesday"
"David Macaulay","Black and White"
"Ed Young","Lon Po Po : A Red - Riding Hood Story from China"

