"","","","","",""
"","","","Goldfinger","","Shirley Bassey"
"","","","Nobody Does It Better","","Carly Simon"
"","","","A View To A Kill","","Duran Duran"
"","","","Mr . Kiss Kiss Bang Bang","","Dionne Warwick"
"","","","For Your Eyes Only","","Sheena Easton"
"","","","We Have All The Time In The World","","Louis Armstrong"
"","","","Live &amp; Let Die","","Paul McCartney &amp; Wings"
"","","","All Time High","","Rita Coolidge"
"","","","The Living Daylights","","a - ha"
"","","","Licence To kill","","Gladys Knight"
"","","","From Russia With Love","","Matt Monroe"
"","","","Thunderball","","Tom Jones"
"","","","You Only Live Twice","","Nancy Sinatra"
"","","","Moonraker","","Shirley Bassey"
"","","","On Her Majesty&apos;s Secret Service","","The John Barry Orchestra"
"","","","The Man With The Golden Gun","","Lulu"
"","","","Diamonds Are Forever","","Shirley Bassey"
"","","","","",""

