"Academy of Learning","Airdrie","",""
"Alberta Career Computer Center Inc","Edmonton","",""
"Athabasca University","","",""
"Bow Valley College","Calgary","",""
"Business Career College","Grande Prairie","",""
"CDI College of Business , Technology and Healthcare","Edmonton","",""
"Campbell College Ltd .","Edmonton","",""
"Grande Prairie Regional College","","",""
"Grant MacEwan College","Edmonton","",""
"HCC Choice College","Spruce Grove","",""
"Keyano College","Fort McMurray","",""
"Lakeland College","Lloydminster","",""
"Lethbridge Community College","","",""
"Mann Career Training Ltd","Spruce View","",""
"Medicine Hat College","","",""
"Mount Royal College","Calgary","",""
"NorQuest College","Edmonton","",""
"Northern Alberta Institute of Technology ( NAIT )","Edmonton and Fairview","",""
"Portage College","Lac La Biche","",""
"Red Deer College","","",""
"Reeves College","Lloydminster","",""
"Slate Training Centre","Edmonton","",""
"Southern Alberta Institute of Technology ( SAIT ) Continuing Education Division","Calgary","",""
"University of Alberta Faculty of Extension","Edmonton","",""
"University of Calgary Faculty of Continuing Education","","",""
"University of Lethbridge","","",""

